nhanes_code,nhanes_label,observed_count,ncit_code,ncit_preferred_label,ncit_iri,mapping_relation,mapping_status,confidence,review_note,review_decision,approved_relation,approved_ncit_code,approved_ncit_label,requires_clinical_note,reviewer_comment,reviewer_name,review_date
20,Larynx/ windpipe,10,C4855,Laryngeal Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4855,closeMatch,draft_candidate,medium,NHANES label includes larynx/windpipe; laryngeal candidate needs review for windpipe/trachea ambiguity.,accept,closeMatch,C4855,Laryngeal Carcinoma,no,,KAZAZIS,2026-08-23
21,Leukemia,7,C3161,Leukemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3161,exactMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept_with_note,broadMatch,C3161,Leukemia,yes,"broad category which includes different entities with different prognosis, survival rates and quality of life",KAZAZIS,2026-08-23
22,Liver,6,C7927,Liver Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7927,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept_with_note,closeMatch,C7927,Liver Carcinoma,yes,includes liver and bile duct cancer?,KAZAZIS,2026-08-23
23,Lung,35,C4878,Lung Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4878,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept_with_note,broadMatch,C4878,Lung Carcinoma,yes,"different histologic types with different prognosis, survival rates and quality of life",KAZAZIS,2026-08-23
24,Lymphoma/ Hodgkin's disease,26,C3208,Lymphoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3208,broadMatch,draft_candidate,medium,NHANES label combines lymphoma/Hodgkin disease; broad lymphoma candidate needs review.,needs_more_information,reviewNeeded,C3208,Lymphoma,yes,different types with different prognosis and survival rates,KAZAZIS,2026-08-23
25,Melanoma,75,C3224,Melanoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3224,exactMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept,closeMatch,C3224,Melanoma,no,,KAZAZIS,2026-08-23
26,Mouth/tongue/lip,5,C8990,Oral Cavity Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8990,broadMatch,draft_candidate,medium,NHANES label mouth/tongue/lip is broader than oral cavity carcinoma; needs review.,accept,broadMatch,C8990,Oral Cavity Carcinoma,no,,KAZAZIS,2026-08-23
27,Nervous system,0,,,,reviewNeeded,manual_review_needed,low,Broad site/system label; needs EVS/manual review.,revise,reviewNeeded,,,,,KAZAZIS,2026-08-23
28,Ovary (ovarian),22,C4908,Ovarian Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4908,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept,closeMatch,C4908,Ovarian Carcinoma,no,,KAZAZIS,2026-08-23
29,Pancreas (pancreatic),7,C207229,Pancreatic Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C207229,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept,closeMatch,C207229,Pancreatic Carcinoma,no,,KAZAZIS,2026-08-23
30,Prostate,157,C4863,Prostate Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4863,closeMatch,draft_candidate,high,EVS phrase search returned Prostate Carcinoma C4863.,accept,closeMatch,C4863,Prostate Carcinoma,no,,KAZAZIS,2026-08-23
31,Rectum (rectal),6,C9382,Rectal Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9382,closeMatch,draft_candidate,high,Candidate returned by EVS phrase search.,accept,closeMatch,C9382,Rectal Carcinoma,no,,KAZAZIS,2026-08-23
32,Skin (non-melanoma),166,,,,reviewNeeded,manual_review_needed,low,"Needs review: source label says non-melanoma skin, but exact NCIt concept should be selected carefully.",revise,reviewNeeded,,,,,KAZAZIS,2026-08-23
33,Skin (don't know what kind),95,C4914,Skin Carcinoma,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C4914,broadMatch,not_mapped,high,Ambiguous NHANES category; do not map to a precise cancer concept.,needs_more_information,broadMatch,C4914,Skin carcinoma,yes,"different histologic types with different prognosis, qlaity of life and survival rates",KAZAZIS,2026-08-23
34,Soft tissue (muscle or fat),4,C9306,Soft Tissue Sarcoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9306,broadMatch,draft_candidate,medium,NHANES label is soft tissue muscle/fat; sarcoma candidate likely but needs review.,accept,broadMatch,C9306,Soft Tissue Sarcoma,no,,KAZAZIS,2026-08-23
35,Stomach,12,C4911,Gastric Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4911,closeMatch,draft_candidate,high,EVS phrase search returned Gastric Carcinoma C4911.,accept,closeMatch,C4911,Gastric Carcinoma,no,,KAZAZIS,2026-08-23
36,Testis (testicular),8,C7251,Malignant Testicular Neoplasm,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C7251,broadMatch,manual_review_needed,high,EVS phrase search did not return a clean general testicular carcinoma/neoplasm candidate in the first results.,accept,broadMatch,C7251,Malignant Testicular Neoplasm,yes,includes many histologic types,KAZAZIS,2026-08-23
37,Thyroid,26,C4815,Thyroid Gland Carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4815,closeMatch,draft_candidate,high,EVS phrase search returned Thyroid Gland Carcinoma C4815.,accept_with_note,broadMatch,C4815,Thyroid Gland Carcinoma,yes,"includes different histologic types with different prognosis, quality of life and survival rates",KAZAZIS,2026-08-23
38,Uterus (uterine),40,C3552,Malignant Uterine Neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3552,broadMatch,draft_candidate,medium,EVS search returned Malignant Uterine Neoplasm C3552; broad anatomic label.,accept,broadMatch,C3552,Malignant Uterine Neoplasm,no,,KAZAZIS,2026-08-23
39,Other,62,,,,notMapped,not_mapped,none,Ambiguous NHANES category; do not map to a precise cancer concept.,reject,notMapped,,,,,KAZAZIS,2026-08-23
66,More than 3 kinds,2,C35427,Malignant Neoplasm of Multiple Primary Sites,,closeMatch,not_mapped,high,Aggregate response category; not a disease concept.,reject,closeMatch,C45427,Malignant Neoplasm of Multiple Primary Sites,no,,KAZAZIS,2026-08-23
77,Refused,0,,,,notMapped,not_mapped,none,"Response status, not a disease concept.",,,,,,,KAZAZIS,2026-08-23
99,Don't know,0,,,,notMapped,not_mapped,none,"Response status, not a disease concept.",,,,,,,KAZAZIS,2026-08-23
